LegID;FltNbr;LegOrig;LegDest;LegETD;LegETA;AcftType;Acft;Crew;AvailableSeatsEconomy;AvailableSeatsBusiness
1;4271;PNS;MIA;2016-04-01 07:05:00;2016-04-01 08:44:00;E175;101;1;3;3
2;4295;MIA;PLS;2016-04-01 09:44:00;2016-04-01 11:34:00;E175;101;1;22;5
3;4295;PLS;MIA;2016-04-01 12:15:00;2016-04-01 14:11:00;E175;101;1;26;2
4;4331;MIA;BNA;2016-04-01 15:20:00;2016-04-01 17:44:00;E175;101;1;26;0
5;4331;BNA;MIA;2016-04-01 18:20:00;2016-04-01 20:35:00;E175;101;2;10;4
6;4277;MIA;PNS;2016-04-01 21:54:00;2016-04-01 23:45:00;E175;101;2;0;0
7;4223;MIA;ATL;2016-04-01 06:59:00;2016-04-01 08:59:00;E175;102;3;3;1
8;4223;ATL;MIA;2016-04-01 09:36:00;2016-04-01 11:31:00;E175;102;3;26;5
9;4338;MIA;CZM;2016-04-01 12:45:00;2016-04-01 15:40:00;E175;102;3;13;3
10;4339;CZM;MIA;2016-04-01 16:25:00;2016-04-01 17:03:00;E175;102;3;26;2
11;4393;MIA;IND;2016-04-01 18:25:00;2016-04-01 21:16:00;E175;102;4;13;2
12;4314;IND;LGA;2016-04-01 06:30:00;2016-04-01 08:46:00;E175;103;5;26;3
13;4321;LGA;ATL;2016-04-01 09:33:00;2016-04-01 12:15:00;E175;103;5;3;3
14;4321;ATL;LGA;2016-04-01 12:45:00;2016-04-01 14:47:00;E175;103;5;26;2
15;4315;LGA;PIT;2016-04-01 15:40:00;2016-04-01 17:25:00;E175;103;5;26;1
16;4390;PIT;MIA;2016-04-01 17:57:00;2016-04-01 20:46:00;E175;103;6;10;2
17;4245;MIA;JAX;2016-04-01 21:44:00;2016-04-01 23:07:00;E175;103;6;3;4
18;4296;CHS;MIA;2016-04-01 07:00:00;2016-04-01 08:47:00;E175;104;7;22;0
19;4335;MIA;NAS;2016-04-01 09:44:00;2016-04-01 10:51:00;E175;104;7;3;4
20;4335;NAS;MIA;2016-04-01 11:35:00;2016-04-01 12:45:00;E175;104;7;26;0
21;4307;MIA;JAX;2016-04-01 14:07:00;2016-04-01 15:24:00;E175;104;7;16;5
22;4307;JAX;MIA;2016-04-01 15:57:00;2016-04-01 17:15:00;E175;104;7;16;2
23;4240;MIA;EYW;2016-04-01 18:20:00;2016-04-01 19:12:00;E175;104;8;22;4
24;4240;EYW;MIA;2016-04-01 20:00:00;2016-04-01 20:47:00;E175;104;8;6;5
25;4244;MIA;NAS;2016-04-01 21:54:00;2016-04-01 22:57:00;E175;104;8;22;2
26;4248;DTW;ORD;2016-04-01 05:38:00;2016-04-01 07:19:00;E175;105;9;0;4
27;4253;ORD;ATL;2016-04-01 07:51:00;2016-04-01 09:54:00;E175;105;9;6;0
28;4253;ATL;ORD;2016-04-01 10:24:00;2016-04-01 12:39:00;E175;105;9;22;0
29;4251;ORD;PIT;2016-04-01 17:52:00;2016-04-01 19:20:00;E175;105;10;3;2
30;4251;PIT;ORD;2016-04-01 20:05:00;2016-04-01 21:53:00;E175;105;10;16;4
31;4304;ORD;DTW;2016-04-01 23:05:00;2016-04-02 00:27:00;E175;105;10;16;0
32;4337;LIR;MIA;2016-04-01 09:12:00;2016-04-01 11:57:00;E175;106;11;26;1
33;4323;MIA;FPO;2016-04-01 13:30:00;2016-04-01 14:16:00;E175;106;11;6;1
34;4323;FPO;MIA;2016-04-01 15:00:00;2016-04-01 15:46:00;E175;106;11;22;1
35;4336;MIA;LIR;2016-04-01 18:05:00;2016-04-01 21:03:00;E175;106;12;22;4
36;4247;CLE;MIA;2016-04-01 07:00:00;2016-04-01 10:08:00;E175;107;13;19;3
37;4241;MIA;ATL;2016-04-01 12:15:00;2016-04-01 14:13:00;E175;107;13;10;0
38;4382;ATL;ORD;2016-04-01 14:44:00;2016-04-01 16:59:00;E175;107;13;26;1
39;4401;ORD;IND;2016-04-01 17:42:00;2016-04-01 18:48:00;E175;107;14;6;5
40;4401;IND;ORD;2016-04-01 19:18:00;2016-04-01 20:34:00;E175;107;14;19;1
41;4232;ORD;MEM;2016-04-01 21:19:00;2016-04-01 23:11:00;E175;107;14;10;3
42;4360;PIT;MIA;2016-04-01 06:00:00;2016-04-01 08:56:00;E175;108;15;6;1
43;4365;MIA;JAX;2016-04-01 09:39:00;2016-04-01 11:03:00;E175;108;15;6;4
44;4365;JAX;MIA;2016-04-01 11:50:00;2016-04-01 13:05:00;E175;108;15;16;4
45;4275;MIA;GGT;2016-04-01 14:15:00;2016-04-01 15:26:00;E175;108;15;10;2
46;4275;GGT;MIA;2016-04-01 16:35:00;2016-04-01 17:51:00;E175;108;16;19;3
47;4361;MIA;BNA;2016-04-01 21:29:00;2016-04-01 23:58:00;E175;108;16;6;1
48;4221;IND;ORD;2016-04-01 07:05:00;2016-04-01 08:33:00;E175;109;17;16;3
49;4260;ORD;DCA;2016-04-01 10:34:00;2016-04-01 12:27:00;E175;109;17;10;3
50;4260;DCA;ORD;2016-04-01 13:10:00;2016-04-01 15:35:00;E175;109;17;16;2
51;4235;ORD;SDF;2016-04-01 16:15:00;2016-04-01 17:33:00;E175;109;17;6;4
52;4235;SDF;ORD;2016-04-01 18:25:00;2016-04-01 20:02:00;E175;109;18;10;2
53;4274;ORD;DEN;2016-04-01 21:30:00;2016-04-02 00:20:00;E175;109;18;19;5
54;4383;MIA;ATL;2016-04-01 09:30:00;2016-04-01 11:35:00;E175;110;19;22;4
55;4383;ATL;MIA;2016-04-01 12:20:00;2016-04-01 14:13:00;E175;110;19;0;2
56;4286;SDF;MIA;2016-04-01 06:05:00;2016-04-01 08:44:00;E175;111;20;16;1
57;4239;MIA;EYW;2016-04-01 09:39:00;2016-04-01 10:38:00;E175;111;20;0;1
58;4239;EYW;MIA;2016-04-01 11:08:00;2016-04-01 11:55:00;E175;111;20;13;0
59;4391;MIA;NAS;2016-04-01 12:47:00;2016-04-01 13:47:00;E175;111;20;6;0
60;4391;NAS;MIA;2016-04-01 14:30:00;2016-04-01 15:36:00;E175;111;20;16;2
61;4373;MIA;FPO;2016-04-01 17:00:00;2016-04-01 17:46:00;E175;111;21;13;0
62;4373;FPO;MIA;2016-04-01 18:30:00;2016-04-01 19:16:00;E175;111;21;6;2
63;4325;ORD;DTW;2016-04-01 08:17:00;2016-04-01 09:43:00;E175;117;22;26;5
64;4325;DTW;ORD;2016-04-01 10:40:00;2016-04-01 12:08:00;E175;117;22;13;2
65;4290;ORD;BDL;2016-04-01 13:15:00;2016-04-01 15:25:00;E175;117;22;3;5
66;4290;BDL;ORD;2016-04-01 15:58:00;2016-04-01 18:46:00;E175;117;22;26;1
67;4362;ORD;SDF;2016-04-01 19:50:00;2016-04-01 21:08:00;E175;117;23;13;2
68;4387;IAH;ORD;2016-04-01 09:06:00;2016-04-01 11:50:00;E175;113;24;3;4
69;4355;ORD;ATL;2016-04-01 12:45:00;2016-04-01 14:44:00;E175;113;24;6;2
70;4328;ATL;MIA;2016-04-01 15:14:00;2016-04-01 17:12:00;E175;113;24;26;1
71;4340;MIA;MTY;2016-04-01 18:15:00;2016-04-01 21:57:00;E175;113;25;10;4
72;4410;BNA;LGA;2016-04-01 09:15:00;2016-04-01 11:18:00;E175;130;26;6;1
73;4402;LGA;ATL;2016-04-01 12:10:00;2016-04-01 14:52:00;E175;130;26;10;4
74;4402;ATL;LGA;2016-04-01 15:25:00;2016-04-01 17:30:00;E175;130;26;26;4
75;4316;LGA;BNA;2016-04-01 18:10:00;2016-04-01 20:53:00;E175;130;27;19;2
76;4334;MIA;NAS;2016-04-01 07:05:00;2016-04-01 08:06:00;E175;115;28;19;0
77;4334;NAS;MIA;2016-04-01 08:50:00;2016-04-01 09:56:00;E175;115;28;10;1
78;4366;MIA;CHS;2016-04-01 15:20:00;2016-04-01 17:00:00;E175;115;28;19;5
79;4366;CHS;MIA;2016-04-01 17:30:00;2016-04-01 19:12:00;E175;115;29;19;3
80;4299;MIA;GSO;2016-04-01 19:59:00;2016-04-01 22:09:00;E175;115;29;0;3
81;9370;PIT;PHL;2016-04-01 09:05:00;2016-04-01 10:27:00;E175;122;30;22;1
82;9371;PHL;PVD;2016-04-01 11:20:00;2016-04-01 12:28:00;E175;122;30;3;1
83;9372;PVD;PHL;2016-04-01 13:00:00;2016-04-01 14:35:00;E175;122;30;0;4
84;9373;PHL;DCA;2016-04-01 15:35:00;2016-04-01 16:38:00;E175;122;30;19;4
85;9374;DCA;ATL;2016-04-01 16:59:00;2016-04-01 19:03:00;E175;122;30;19;3
86;9375;ATL;DCA;2016-04-01 19:35:00;2016-04-01 21:19:00;E175;122;31;19;5
87;9376;DCA;IND;2016-04-01 22:10:00;2016-04-01 23:12:00;E175;122;31;26;2
88;4318;ORD;PHL;2016-04-01 08:05:00;2016-04-01 10:12:00;E175;112;32;22;3
89;4350;PHL;ORD;2016-04-01 11:11:00;2016-04-01 13:43:00;E175;112;32;3;1
90;4317;ORD;MEM;2016-04-01 14:23:00;2016-04-01 16:10:00;E175;112;32;13;1
91;4317;MEM;ORD;2016-04-01 16:40:00;2016-04-01 18:39:00;E175;112;32;0;5
92;4257;ORD;PIT;2016-04-01 19:20:00;2016-04-01 20:49:00;E175;112;33;13;4
93;4279;MEM;LGA;2016-04-01 07:00:00;2016-04-01 09:26:00;E175;135;34;22;1
94;4254;LGA;MEM;2016-04-01 11:00:00;2016-04-01 14:14:00;E175;135;34;0;5
95;4254;MEM;LGA;2016-04-01 14:45:00;2016-04-01 17:09:00;E175;135;34;3;4
96;4224;LGA;MEM;2016-04-01 18:30:00;2016-04-01 21:45:00;E175;135;35;3;2
97;4298;GSO;MIA;2016-04-01 06:30:00;2016-04-01 08:40:00;E175;119;36;0;2
98;4356;MIA;FPO;2016-04-01 09:44:00;2016-04-01 10:39:00;E175;119;36;6;5
99;4356;FPO;MIA;2016-04-01 11:19:00;2016-04-01 12:05:00;E175;119;36;16;3
100;4278;MIA;GGT;2016-04-01 12:50:00;2016-04-01 14:01:00;E175;119;36;22;5
101;4278;GGT;MIA;2016-04-01 14:41:00;2016-04-01 15:57:00;E175;119;36;10;5
102;4398;MIA;NAS;2016-04-01 16:55:00;2016-04-01 17:53:00;E175;119;37;22;0
103;4398;NAS;MIA;2016-04-01 18:33:00;2016-04-01 19:38:00;E175;119;37;19;4
104;4326;MIA;SDF;2016-04-01 20:24:00;2016-04-01 23:00:00;E175;119;37;19;1
105;4264;IND;ORD;2016-04-01 09:00:00;2016-04-01 10:18:00;E175;137;38;0;2
106;4346;ORD;ELP;2016-04-01 11:20:00;2016-04-01 14:48:00;E175;137;38;0;2
107;4346;ELP;ORD;2016-04-01 15:25:00;2016-04-01 18:37:00;E175;137;38;26;4
108;4378;ORD;IND;2016-04-01 21:20:00;2016-04-01 22:27:00;E175;137;39;6;3
109;4369;SDF;ORD;2016-04-01 08:30:00;2016-04-01 10:15:00;E175;121;40;13;2
110;4313;ORD;ABQ;2016-04-01 11:20:00;2016-04-01 14:39:00;E175;121;40;0;2
111;4313;ABQ;ORD;2016-04-01 15:49:00;2016-04-01 18:44:00;E175;121;40;16;4
112;4261;ORD;IND;2016-04-01 19:24:00;2016-04-01 20:31:00;E175;121;41;22;5
113;4370;PIT;ORD;2016-04-01 08:20:00;2016-04-01 10:26:00;E175;116;42;10;4
114;4386;ORD;DTW;2016-04-01 13:20:00;2016-04-01 14:45:00;E175;116;42;10;3
115;4386;DTW;ORD;2016-04-01 15:15:00;2016-04-01 16:41:00;E175;116;42;26;3
116;4385;ORD;ATL;2016-04-01 17:30:00;2016-04-01 19:30:00;E175;116;43;19;0
117;4385;ATL;ORD;2016-04-01 20:00:00;2016-04-01 22:15:00;E175;116;43;26;5
118;4233;LGA;RDU;2016-04-01 13:25:00;2016-04-01 15:14:00;E175;123;44;6;0
119;4233;RDU;LGA;2016-04-01 15:44:00;2016-04-01 17:29:00;E175;123;44;0;2
120;4273;LGA;RIC;2016-04-01 18:05:00;2016-04-01 19:41:00;E175;123;44;13;0
121;4273;RIC;LGA;2016-04-01 20:15:00;2016-04-01 21:37:00;E175;123;44;13;1
122;4293;PLS;MIA;2016-04-01 08:15:00;2016-04-01 10:11:00;E175;124;45;0;0
123;4266;MIA;PNS;2016-04-01 11:15:00;2016-04-01 13:04:00;E175;124;45;16;0
124;4266;PNS;MIA;2016-04-01 14:00:00;2016-04-01 15:39:00;E175;124;45;13;4
125;4285;MIA;JAX;2016-04-01 16:50:00;2016-04-01 18:07:00;E175;124;45;13;1
126;4285;JAX;MIA;2016-04-01 19:10:00;2016-04-01 20:30:00;E175;124;46;10;3
127;4284;ORF;MIA;2016-04-01 06:00:00;2016-04-01 08:31:00;E175;125;47;19;4
128;4256;MIA;PIT;2016-04-01 09:20:00;2016-04-01 12:04:00;E175;125;47;22;4
129;4256;PIT;JFK;2016-04-01 12:34:00;2016-04-01 14:09:00;E175;125;47;6;1
130;4363;JFK;IND;2016-04-01 14:55:00;2016-04-01 17:23:00;E175;125;48;26;5
131;4220;IND;MIA;2016-04-01 17:55:00;2016-04-01 20:36:00;E175;125;48;13;4
132;4375;MIA;CHS;2016-04-01 21:34:00;2016-04-01 23:20:00;E175;125;48;10;5
133;4312;ORD;IAH;2016-04-01 11:05:00;2016-04-01 13:52:00;E175;133;49;22;0
134;4312;IAH;ORD;2016-04-01 14:22:00;2016-04-01 17:12:00;E175;133;49;19;2
135;4272;ORD;JAX;2016-04-01 19:30:00;2016-04-01 21:54:00;E175;133;49;16;3
136;4283;JAX;ORD;2016-04-01 07:10:00;2016-04-01 09:59:00;E175;134;50;22;5
137;4368;ORD;HDN;2016-04-01 10:49:00;2016-04-01 13:50:00;E175;134;50;3;3
138;4368;HDN;ORD;2016-04-01 14:22:00;2016-04-01 17:10:00;E175;134;50;26;3
139;4351;ORD;EWR;2016-04-01 17:50:00;2016-04-01 19:56:00;E175;134;51;13;4
140;4351;EWR;ORD;2016-04-01 20:29:00;2016-04-01 23:10:00;E175;134;51;26;0
141;4263;RIC;MIA;2016-04-01 07:45:00;2016-04-01 10:16:00;E175;128;52;6;2
142;4282;MIA;EYW;2016-04-01 10:55:00;2016-04-01 11:49:00;E175;128;52;19;0
143;4282;EYW;MIA;2016-04-01 12:31:00;2016-04-01 13:19:00;E175;128;52;10;3
144;4228;MIA;ATL;2016-04-01 15:20:00;2016-04-01 17:18:00;E175;128;52;13;4
145;4333;ATL;ORD;2016-04-01 17:54:00;2016-04-01 20:09:00;E175;128;53;3;3
146;4267;ORD;IAH;2016-04-01 22:25:00;2016-04-02 01:17:00;E175;128;53;19;5
147;4384;DEN;ORD;2016-04-01 07:35:00;2016-04-01 10:10:00;E175;129;54;6;3
148;4343;ORD;MSP;2016-04-01 11:01:00;2016-04-01 12:29:00;E175;129;54;22;2
149;4343;MSP;ORD;2016-04-01 13:07:00;2016-04-01 14:44:00;E175;129;54;6;4
150;4344;ORD;DEN;2016-04-01 15:25:00;2016-04-01 18:15:00;E175;129;54;16;0
151;4342;DEN;ORD;2016-04-01 19:18:00;2016-04-01 21:48:00;E175;129;55;3;2
152;4374;BNA;MIA;2016-04-01 07:00:00;2016-04-01 09:16:00;E175;114;56;26;4
153;4237;MIA;BNA;2016-04-01 10:04:00;2016-04-01 12:38:00;E175;114;56;6;4
154;4237;BNA;MIA;2016-04-01 13:30:00;2016-04-01 15:44:00;E175;114;56;3;5
155;4380;MIA;PIT;2016-04-01 18:51:00;2016-04-01 21:30:00;E175;114;57;13;4
156;4320;DCA;ATL;2016-04-01 06:25:00;2016-04-01 08:27:00;E175;140;58;6;2
157;4320;ATL;DCA;2016-04-01 08:57:00;2016-04-01 10:41:00;E175;140;58;0;0
158;4395;DCA;STL;2016-04-01 11:36:00;2016-04-01 14:04:00;E175;140;58;19;4
159;4270;STL;DCA;2016-04-01 14:34:00;2016-04-01 16:33:00;E175;140;58;26;4
160;4305;DCA;RSW;2016-04-01 17:13:00;2016-04-01 20:00:00;E175;140;59;13;4
161;4305;RSW;DCA;2016-04-01 20:30:00;2016-04-01 22:56:00;E175;140;59;10;1
162;4341;MTY;MIA;2016-04-01 10:15:00;2016-04-01 13:12:00;E175;132;60;0;0
163;4400;MIA;NAS;2016-04-01 14:05:00;2016-04-01 15:03:00;E175;132;60;16;5
164;4400;NAS;MIA;2016-04-01 15:49:00;2016-04-01 16:55:00;E175;132;60;6;0
165;4294;MIA;PLS;2016-04-01 18:05:00;2016-04-01 19:46:00;E175;132;60;3;2
166;4357;ORD;IAH;2016-04-01 08:49:00;2016-04-01 11:40:00;E175;126;61;0;3
167;4357;IAH;ORD;2016-04-01 12:19:00;2016-04-01 15:03:00;E175;126;61;10;0
168;4250;ORD;ATL;2016-04-01 16:00:00;2016-04-01 18:01:00;E175;126;61;3;4
169;4302;ATL;MIA;2016-04-01 18:34:00;2016-04-01 20:30:00;E175;126;62;13;1
170;4359;JAX;MIA;2016-04-01 07:00:00;2016-04-01 08:18:00;E175;127;63;6;5
171;4303;MIA;IND;2016-04-01 09:20:00;2016-04-01 12:16:00;E175;127;63;22;4
172;4364;IND;JFK;2016-04-01 12:46:00;2016-04-01 14:51:00;E175;127;63;10;0
173;4390;JFK;PIT;2016-04-01 15:40:00;2016-04-01 17:27:00;E175;127;63;13;2
174;4300;MEM;ORD;2016-04-01 06:05:00;2016-04-01 08:04:00;E175;118;64;0;1
175;4262;ORD;ATL;2016-04-01 09:30:00;2016-04-01 11:34:00;E175;118;64;19;1
176;4262;ATL;ORD;2016-04-01 12:05:00;2016-04-01 14:20:00;E175;118;64;10;4
177;4222;ORD;SAT;2016-04-01 15:00:00;2016-04-01 18:10:00;E175;118;65;10;1
178;4222;SAT;ORD;2016-04-01 18:51:00;2016-04-01 21:40:00;E175;118;65;16;4
179;4396;MEM;MIA;2016-04-01 08:00:00;2016-04-01 10:20:00;E175;136;66;16;5
180;4376;MIA;NAS;2016-04-01 11:15:00;2016-04-01 12:16:00;E175;136;66;13;1
181;4243;NAS;MIA;2016-04-01 13:00:00;2016-04-01 14:06:00;E175;136;66;6;5
182;4392;MIA;ATL;2016-04-01 16:50:00;2016-04-01 18:48:00;E175;136;66;10;4
183;4392;ATL;MIA;2016-04-01 19:18:00;2016-04-01 21:11:00;E175;136;67;22;4
184;4229;MIA;ORF;2016-04-01 21:54:00;2016-04-02 00:15:00;E175;136;67;19;5
185;4238;IND;MIA;2016-04-01 07:30:00;2016-04-01 10:23:00;E175;120;68;6;3
186;4242;MIA;MHH;2016-04-01 11:10:00;2016-04-01 12:09:00;E175;120;68;3;1
187;4242;MHH;MIA;2016-04-01 12:49:00;2016-04-01 13:48:00;E175;120;68;19;5
188;4259;MIA;MSY;2016-04-01 15:20:00;2016-04-01 17:38:00;E175;120;68;6;0
189;4259;MSY;MIA;2016-04-01 18:45:00;2016-04-01 20:42:00;E175;120;69;16;2
190;4230;MIA;CLE;2016-04-01 21:59:00;2016-04-02 00:57:00;E175;120;69;19;1
191;4324;NAS;MIA;2016-04-01 07:00:00;2016-04-01 08:04:00;E175;138;70;22;1
192;4288;MIA;CLE;2016-04-01 09:25:00;2016-04-01 12:23:00;E175;138;70;6;1
193;4276;CLE;JFK;2016-04-01 13:00:00;2016-04-01 14:38:00;E175;138;70;3;3
194;4276;JFK;CLE;2016-04-01 15:25:00;2016-04-01 17:16:00;E175;138;70;10;2
195;4297;CLE;MIA;2016-04-01 17:49:00;2016-04-01 20:50:00;E175;138;71;26;3
196;4372;MIA;EYW;2016-04-01 21:34:00;2016-04-01 22:32:00;E175;138;71;6;4
197;4225;MIA;MSY;2016-04-01 09:30:00;2016-04-01 11:55:00;E175;139;72;6;3
198;4225;MSY;MIA;2016-04-01 12:30:00;2016-04-01 14:25:00;E175;139;72;6;0
199;4287;MIA;RIC;2016-04-01 17:00:00;2016-04-01 19:17:00;E175;139;72;19;4
200;4227;DCA;JFK;2016-04-01 06:00:00;2016-04-01 07:14:00;E175;131;73;0;2
201;4367;JFK;DCA;2016-04-01 07:55:00;2016-04-01 09:16:00;E175;131;73;13;1
202;4258;DCA;STL;2016-04-01 10:17:00;2016-04-01 12:50:00;E175;131;73;19;4
203;4268;STL;DCA;2016-04-01 13:20:00;2016-04-01 15:19:00;E175;131;73;26;2
204;4394;DCA;STL;2016-04-01 15:59:00;2016-04-01 18:30:00;E175;131;74;3;2
205;4330;STL;DCA;2016-04-01 19:10:00;2016-04-01 21:11:00;E175;131;74;26;5
206;4389;DCA;CMH;2016-04-01 22:05:00;2016-04-01 23:30:00;E175;131;74;19;4
207;4280;EYW;MIA;2016-04-01 07:40:00;2016-04-01 08:27:00;E175;141;75;16;1
208;4265;MIA;ORF;2016-04-01 11:05:00;2016-04-01 13:24:00;E175;141;75;6;1
209;4265;ORF;JFK;2016-04-01 14:10:00;2016-04-01 15:37:00;E175;141;75;0;1
210;4377;JFK;DCA;2016-04-01 16:29:00;2016-04-01 17:50:00;E175;141;75;19;4
211;4377;DCA;JFK;2016-04-01 19:25:00;2016-04-01 21:03:00;E175;141;76;19;3
212;4358;JFK;DCA;2016-04-01 21:43:00;2016-04-01 22:59:00;E175;141;76;10;2
213;4332;CMH;DCA;2016-04-01 07:59:00;2016-04-01 09:24:00;E175;142;77;6;3
214;4255;DCA;JFK;2016-04-01 10:04:00;2016-04-01 11:17:00;E175;142;77;13;3
215;4234;JFK;DCA;2016-04-01 11:57:00;2016-04-01 13:12:00;E175;142;77;10;0
216;4234;DCA;JFK;2016-04-01 13:52:00;2016-04-01 14:59:00;E175;142;77;3;2
217;4246;JFK;ORF;2016-04-01 15:55:00;2016-04-01 17:21:00;E175;142;77;13;3
218;4246;ORF;MIA;2016-04-01 18:00:00;2016-04-01 20:31:00;E175;142;78;0;2
219;4231;MIA;MEM;2016-04-01 21:34:00;2016-04-02 00:17:00;E175;142;78;0;1
